subject,condition,Near A,Far C,"Near A, Far C","Near A, Far B, Far C","Near A, Far B",Far B,"Far B, Far C",Far A,"Near B, Far C","Near A, Near B, Far C","Near A, Near B",Near B,"Far A, Far C"
1,1,7,7,7,7,5,3,4,1,3,7,6,3,1
2,1,7,7,7,3,5,2,4,1,1,4,5,2,1
3,1,7,7,7,7,6,5,7,1,2,4,3,2,1
4,1,7,7,7,5,5,1,5,1,6,6,6,6,1
5,1,7,7,7,6,6,2,3,1,5,7,6,2,4
6,1,7,2,2,3,6,5,3,7,4,2,7,3,4
7,1,7,1,7,7,7,4,7,1,3,3,6,2,1
8,1,7,7,7,7,6,2,6,1,3,6,6,2,1
9,1,7,7,7,6,4,4,7,1,2,4,4,1,1
10,1,7,7,7,7,7,5,7,1,1,5,3,1,1
11,1,7,7,5,7,3,4,3,2,4,3,4,2,1
12,1,7,7,7,7,7,7,7,1,2,3,2,1,1
13,1,7,3,7,6,6,5,6,1,1,6,3,1,1
14,1,4,1,4,3,7,1,5,1,4,5,5,5,4
15,1,6,4,6,5,4,4,4,1,2,4,3,3,2
16,1,7,7,7,7,7,4,7,1,2,2,3,4,1
17,1,7,7,7,7,7,7,7,1,5,5,1,1,1
18,1,7,7,7,7,7,7,7,1,7,5,1,1,1
19,1,7,7,7,7,7,7,7,1,7,5,1,1,1
20,1,6,6,7,3,5,4,4,1,3,5,4,1,1
21,1,7,7,7,7,7,5,7,7,5,3,4,1,6
22,1,7,7,7,4,3,3,4,1,1,3,2,2,1
23,1,7,7,7,6,4,4,4,1,4,5,4,3,1
24,1,6,4,5,5,5,5,5,5,2,4,2,5,6
25,1,5,6,5,6,5,6,5,2,2,3,2,1,3
26,1,5,6,5,6,4,2,6,1,1,5,2,2,1
27,1,7,5,6,3,3,2,4,1,6,6,5,4,1
28,1,6,4,6,5,5,5,4,1,5,5,5,3,1
29,1,7,7,7,4,5,5,5,1,3,4,4,3,2
30,2,6,7,7,1,1,1,1,1,7,7,7,6,1
31,2,5,6,6,3,2,3,5,3,6,6,6,5,3
32,2,5,2,2,4,1,3,3,2,4,3,5,2,1
33,2,5,4,3,1,1,1,2,1,7,7,7,3,2
34,2,5,6,5,3,2,3,4,2,5,6,6,5,3
35,2,5,6,4,3,2,2,2,1,6,7,7,4,4
36,2,6,7,4,6,7,5,6,5,6,7,6,7,4
37,2,4,4,4,1,1,1,1,1,4,7,7,4,1
38,2,6,6,6,3,2,2,2,1,5,7,6,6,2
39,2,7,1,1,1,7,4,4,1,5,1,7,1,1
40,2,6,5,4,4,6,4,5,4,5,7,5,5,6
41,2,4,6,6,2,3,1,4,1,6,6,6,4,3
42,2,4,5,5,4,4,4,4,5,3,4,4,4,4
43,2,1,7,1,1,3,4,3,3,3,3,3,1,3
44,2,6,6,6,7,1,5,6,1,6,6,7,5,6
45,2,4,6,5,4,4,2,4,2,5,6,4,4,2
46,2,5,7,6,5,2,5,5,5,5,7,5,5,6
47,2,5,6,4,5,4,5,3,3,3,4,5,4,5
48,2,7,7,7,5,1,1,1,1,7,7,7,7,1
49,2,7,7,7,4,1,1,5,1,7,7,7,7,1
50,2,7,7,7,1,1,5,6,5,7,7,7,7,1
51,2,3,4,4,3,3,1,3,3,4,4,3,3,3
52,2,7,4,6,5,4,2,4,1,2,3,5,4,7
53,2,6,7,6,1,1,1,1,1,4,6,6,6,1
54,2,5,6,3,5,1,1,3,2,5,3,7,5,1
55,2,5,4,2,3,4,3,3,2,4,6,5,4,3
56,2,4,5,4,2,2,1,2,1,5,7,7,4,1
57,2,6,7,6,4,4,2,2,1,6,7,7,6,2
58,2,5,7,6,1,1,1,1,1,6,5,5,4,1
59,2,6,7,7,1,1,2,2,2,7,7,7,7,1
60,3,2,6,1,1,1,1,1,4,6,2,3,7,4
61,3,3,5,3,1,1,1,3,6,2,5,1,7,7
62,3,2,5,4,2,1,1,2,2,6,5,6,7,4
63,3,5,5,4,1,1,1,1,3,7,3,7,7,6
64,3,1,6,4,1,1,1,1,4,6,5,3,7,7
65,3,1,6,2,1,1,1,1,6,6,3,3,7,6
66,3,3,3,4,1,1,1,1,2,7,6,6,7,6
67,3,1,6,4,1,1,1,2,6,7,4,5,7,4
68,3,1,6,3,1,1,1,1,5,6,5,4,5,6
69,3,2,6,1,1,2,1,2,5,7,1,2,7,6
70,3,2,6,2,3,2,2,2,4,6,3,3,7,6
71,3,2,7,1,1,1,1,2,5,6,3,2,7,6
72,3,1,7,5,7,1,1,1,5,6,6,5,7,7
73,3,2,5,6,2,1,1,2,3,7,6,6,7,7
74,3,1,1,1,1,1,1,1,1,1,2,1,7,1
75,3,4,4,3,1,1,1,4,5,6,4,4,6,6
76,3,2,3,4,1,2,1,4,6,6,4,4,7,6
77,3,2,6,3,1,1,1,1,3,7,2,4,3,2
78,3,3,5,5,1,1,3,3,4,3,1,1,7,5
79,3,1,7,1,1,1,1,1,7,7,5,1,7,7
80,3,1,7,7,1,1,1,1,7,7,7,1,7,6
81,3,1,7,7,1,1,1,1,7,7,6,1,7,7
82,3,3,5,1,1,1,1,1,2,5,4,3,7,3
83,3,3,6,2,1,1,1,2,4,6,4,4,7,4
84,3,3,7,3,1,2,1,1,5,6,6,4,7,6
85,3,1,4,4,1,1,1,2,1,7,5,6,6,6
86,3,2,4,2,1,1,1,1,3,4,3,2,6,4
87,3,3,5,5,1,1,1,1,3,5,5,5,7,5
88,3,1,4,6,1,1,1,1,7,7,6,3,7,6
89,3,2,7,5,1,1,1,1,6,7,5,4,7,7