Subject,Story,Case,Explanation 0,Explanation 1,Explanation 2,Explanation 3,Explanation 4,Explanation 5,Explanation 6,Explanation 7,Reasoning
173,food allergy,ate,6,5,6,5,5,4,5,1,It is likely David did not know what was in the appetizers
175,food allergy,ate,7,7,7,7,7,7,7,1,why would he be that stupid if he knew it would cause a reaction unless he was wanting a pitty party
176,food allergy,ate,2,2,2,2,2,2,7,1,The only explanation that works is when matt didn't know all three ingredients contained benzatrate. If he knew of even one it is idiotic for him to eat the appetizer
178,food allergy,ate,7,7,7,7,7,7,7,1,He didnt know so almost all the sentences make perfect sense
181,food allergy,ate,1,1,1,1,1,1,1,1,"Matt should have known to ask before eating, and when in question don't eat it! "
0,robbery,arrested,7,7,7,7,7,7,7,1,"Each of these crimes is enough to arrest David, so it doesn't matter whether the officer knows about all three robberies, only two of them, or only one of them."
2,robbery,arrested,6,7,6,7,7,6,6,2,Officer must have assumed that Robert could be only culprit by his experience.
3,robbery,arrested,4,4,4,5,5,5,7,1,The officer would have to have been at one of the places to see at least one of the crimes committed.  I would assume that if he were at more than one venue he would positively conclude that Matt is the serial robber.
5,robbery,arrested,1,1,1,1,1,1,1,7,It doesn't really ay much here and how the evidence was put together to arrest Matt. 
6,robbery,arrested,7,7,7,7,7,7,7,7,"If the officer knew Jacob had robbed any store, he was right in arresting him. "
10,robbery,arrested,2,4,4,5,3,4,5,5,Correct Answers 
11,robbery,arrested,7,7,7,7,7,7,7,4,Any one of these could have had him arrested. Even the last. He could have don something else.
12,robbery,arrested,4,4,5,5,5,5,7,2,"jacob was arrested because he committed three robberies, The police officer arrested him and taking custody to investigating to know about that three store robberies."
14,robbery,arrested,5,5,3,4,3,3,6,6,"I don't think he knew that he robbed all three places, or even one. I don't know what he picked Jacob up for."
17,robbery,arrested,3,5,5,6,6,3,6,5,You want to be as descriptive as possible and include as much information as possible about the criminal. 
24,robbery,arrested,5,5,5,5,5,5,7,2,"All of them are pretty good explanations because if the officer KNEW that Alex committed any of the robberies, he should be arrested. The only one that doesn't make too much sense is the office arresting him without knowing. "
25,robbery,arrested,7,7,7,7,7,7,7,1,The officer should arrest someone if they know they committed the crime.
28,robbery,arrested,7,7,7,7,7,7,7,1,"It's a small town, it's was easy for the officer to know what stores Matt had robbed."
32,robbery,arrested,5,6,7,5,6,7,6,2,i think he was where all the robberys were at the time 
35,robbery,arrested,7,7,7,7,7,7,7,1,"The officer knew Alex had robbed a store, I feel that the combination of which stores is all good explanations because he could have knew about one, two or all three but he at least knew one."
38,robbery,arrested,5,5,5,6,6,6,7,6,every case was a good explanation for the arrest of alex .
39,robbery,arrested,6,6,6,6,6,6,6,2,if david was arrested its a pretty good bet the police had a good suspicion he committed the robberies. they couldnt be 100% sure but sure enough to arrest him
42,robbery,arrested,7,7,7,7,7,7,7,1,"He would arrest him because no other crimes were reported that day. So since he hit up all 3 places, it couldn't have been anyone else except him."
43,robbery,arrested,7,7,7,7,7,7,7,1,If the officer knew Jacob had committed any one of the crimes that is a very good explanation for his arrest.
49,robbery,arrested,6,5,4,6,4,3,4,5,This is the truth. 
54,robbery,arrested,7,7,7,7,7,7,7,1,"the officer arrested alex because they knew he had committed a crime, maybe they didn't  about all of them but they knew enough to arrest him"
59,robbery,arrested,4,4,4,4,4,4,4,1,I don't know which crime(s) the officer was aware of Jacob committing.
63,robbery,arrested,6,6,6,6,6,6,5,2,Since police knew he robbed he might be arrested David for the crime.
65,robbery,arrested,7,7,7,7,7,7,7,1,"If he knows he robbed at least one of them, that's grounds for making an arrest. "
66,robbery,arrested,7,7,7,7,7,7,7,2,Any one of the crimes was sufficient to arrest. Based on that any knowledge of crime was sufficient to arrest.
67,robbery,arrested,4,4,4,4,4,4,6,1,"If the officer knew even one of them, that would be a good enough reason to arrest.  He doesn't have to know all.  "
69,robbery,arrested,7,7,7,7,7,7,7,1,"As long as the officer KNEW he robbed at least one store, he needed to be arrested."
70,robbery,arrested,7,7,7,7,7,7,7,1,"If the officer knew he did any one of the robberies that is a very good reason to arrest him.  If he didn't know, then that would be a very bad reason."
75,robbery,arrested,7,7,7,7,7,7,7,4,He would be arrested for doing any one of those robberies so if the police officer knew he did any of them he could be arrested. He could also be arrested if the police officer assigned to the cases caught him doing anything else illegal so I think the police officer not knowing he committed those robberies is also a valid explanation.
77,robbery,arrested,5,5,5,5,5,5,5,5,All of the explanations seem good.
78,robbery,arrested,3,4,4,4,3,4,2,1,The officer knew that jacob committed a crime and robbed something therfore arrested him.
81,robbery,arrested,7,7,7,7,7,7,7,1,"The case states Alex committed 3 robberies.  If the police didn't know that Alex robbed the stores, he would not have arrested him. "
82,robbery,arrested,6,6,6,6,7,6,7,1,"If he knew the committed a robbery that is a good reason, if he knew he committed 3 that is a great reason."
83,robbery,arrested,7,7,7,7,7,7,7,1,Any robbery is deserving of jail time. 
90,robbery,arrested,5,5,4,4,4,4,3,2,The police officer may have found evidence linking Jacob to one of the crimes and then after investigation and interrogation they found out that he committed the other crimes. 
91,robbery,arrested,7,7,7,7,7,7,7,1,As long as the officer knew he robbed any one of the places there was reason to arrest
92,robbery,arrested,5,5,5,6,6,6,7,1,The best explanation was that the officer was satisfied that David was arrested because he had robbed all three businesses. 
93,robbery,arrested,7,7,7,7,7,7,7,1,"Officer said the truth that he robbed grocery, liquor, drug stores."
95,robbery,arrested,6,6,6,6,5,5,5,1,"He was assigned to the cases, so probably knew Matt had robbed one of the 3 places, if not all, because of video or witness descriptions or other evidence."
97,robbery,arrested,7,7,7,7,7,7,7,7,HE was the only one robbing businesses . 
98,robbery,arrested,1,1,1,1,1,1,1,7,No way to know
99,robbery,arrested,6,6,5,7,7,6,7,1,Knowing that Alex had robbed at least 1 store is a good explanation for arresting him. Knowing multiple or all 3 is a very good reason.
100,robbery,arrested,5,6,6,7,6,4,5,5,POLICE ARRESTED IS GOOD THING TO A TOWN IT SATISFIES ALL OVER THE AREA
101,robbery,arrested,3,2,3,3,4,2,7,1,The police officer know that the Mat is robber person 
104,robbery,arrested,7,7,7,7,7,7,7,1,"If the officer knew and had evidence of Alex committing the crimes, then those were very good explanations. If the officer didn't know or had no evidence, then it was a very bad explanation."
105,robbery,arrested,2,2,2,2,2,2,2,6,"Although it's a small town, I can't see how convinced the officer was about Matt being the robber. The way I see it, he was probably suspicious of Matt and took him in for questioning. "
110,robbery,arrested,7,7,7,7,7,7,7,1,"If the officer knew that Alex had robbed a store then yes, Alex should be arrested. However, if the officer didn't know, I don't feel that Alex should be arrested in that case."
112,robbery,arrested,7,7,7,7,7,7,7,1,The police officer wouldn't have arrested David if he wasn't confident that he committed the crimes.
113,robbery,arrested,1,1,1,1,1,1,1,7,The officer didn't know.
114,robbery,arrested,6,6,6,6,6,6,7,6,"The officer had to know he robbed one of them, so the more he knew, the more satisfying the explanation would be."
115,robbery,arrested,7,7,7,7,7,7,7,1,The officer would've had to known that he robbed any of those stores to justify an arrest.
117,robbery,arrested,7,7,7,7,7,7,7,1,"If the officer knew he robbed some place, that seems like a good reason to arrest him."
119,robbery,arrested,3,7,2,6,6,2,5,4,I made my judgement off of my gut feeling.
122,robbery,arrested,6,7,6,7,6,5,6,7,very nice
124,robbery,arrested,7,7,7,7,7,7,7,1,"In every case where the officer knew that Matt had committed a crime it is a very good explanation for arrest. In the option where the officer isn't aware of the robberies being committed by Matt there could still be another reason for his arrest, but it isn't a good explanation. "
125,robbery,arrested,4,4,4,6,6,5,7,1,The officer knew about all the crimes he committed.
127,robbery,arrested,6,6,6,6,6,6,6,2,If he was arrested he must have known that he did all or one of those things.
128,robbery,arrested,7,7,7,7,7,7,7,1,I think it makes sense that Matt would be arrested if the office knew he had robbed any of the businesses. He would not have been arrested if the officer didn't know he had committed any robberies.
130,robbery,arrested,4,4,4,4,4,4,3,4,I just chose those
131,robbery,arrested,7,7,7,7,7,7,7,1,The officer would not have arrested Matt with out evidence.
132,robbery,arrested,2,5,3,6,4,3,5,3,"again, my opinion"
133,robbery,arrested,3,4,6,5,5,4,5,6,I feel it is important to hold people accountable.
134,robbery,arrested,7,7,7,7,7,7,7,1,They obviously had video footage or some other type of evidence that pointed towards Jacob and so the officer did his job by arresting Jacob.
135,robbery,arrested,6,6,5,7,7,6,7,1,the police were obviously aware of some or all of his crimes that is why he got arrested 
136,robbery,arrested,7,7,7,7,7,7,7,1,The officer knew that Alex committed the three robberies. Very tricky these ones are.
138,robbery,arrested,3,3,3,3,3,3,3,1,"The officer shouldn't know, but rather suspect, that he robbed the places since he should be innocent until proven guilty."
139,robbery,arrested,6,7,6,7,6,7,7,6,very intersting
142,robbery,arrested,1,2,2,1,2,2,1,7,"It didn't state who the police officer thought had robbed the stores, so maybe they got video footage and could see who robbed the stores."
149,robbery,arrested,2,4,4,5,3,6,5,6,I think the officer was aware of the robberies done by Matt.
151,robbery,arrested,7,6,5,7,5,6,7,6,i just choose on my own decision
152,robbery,arrested,5,5,6,6,5,6,6,5,very nice
153,robbery,arrested,5,4,5,4,4,4,5,3,I think it is justified that David should be arrested for his robberies.
154,robbery,arrested,3,4,4,4,3,4,4,1,"On this one, the officer knows that he did ONE of the crimes.  He may know that he did all of the crimes, but to arrest Matt, he only needs to know about one of them.  So it's possible he knows of the others but not 100% sure."
155,robbery,arrested,5,5,5,6,6,6,7,2,The more reason the police had makes it a better reason to arrest him
156,robbery,arrested,4,5,6,7,5,4,6,6,This made sense to me and how I felt.
157,robbery,arrested,6,6,6,6,6,6,6,6,I think the fact that the officer knew he robbed at least one of the places is enough to lead to arrest and satisfactory explanation.
164,robbery,arrested,5,6,3,3,5,4,4,4,I feel like Matt deserves what was coming to him.
165,robbery,arrested,7,6,6,7,6,6,6,7,good
167,robbery,arrested,4,4,5,5,5,5,6,1,Knowing he committed all three robberies is the best explanation for arresting him
168,robbery,arrested,7,7,7,7,7,7,7,1,If the officer knew Matt had robbed any one of the places that is an excellent reason to arrest him. 
173,robbery,arrested,4,5,4,4,5,4,5,4,I think that if the police knew he had robbed more than one place it is likely he robbed all three. 
175,robbery,arrested,4,4,4,4,4,4,4,4,he knew he robbed something one or all does not matter when arresting
176,robbery,arrested,7,7,7,7,7,7,6,1,"If the officer new that david committed either just one or all three robberies, the arrest was justified and a good enough explanation. If the officer didn't know about the robberies, then the arrest makes zero sense."
178,robbery,arrested,5,5,5,5,5,5,5,2,It can be assumed he may have known.. but he could also just be a suspect at this point too
181,robbery,arrested,1,1,1,1,1,1,1,1,"it doesn't mention anything about ""how"" the officer knew "
1,robbery,didn't arrest,5,6,6,6,3,3,4,3,"The officer didn't know that David had robbed the liquor store, or the drug store, or the grocery store."
4,robbery,didn't arrest,5,5,7,6,6,6,7,1,Unless the police officer is corrupt or heavily biased the only likely reason he did not arrest Matt would be if he wasn't aware that Matt had committed any crimes.
7,robbery,didn't arrest,2,2,2,2,2,2,2,2,I think this is a racial profiling.
8,robbery,didn't arrest,7,7,7,7,7,7,7,1,The officer didn't know what he did
9,robbery,didn't arrest,3,4,5,4,4,5,4,4,"I just guessed on this one, I have no idea who knew what."
13,robbery,didn't arrest,6,6,6,6,6,6,6,2,There is no mention of any proof. So the police had to wait for the next day to gather the evidence before arresting him.
15,robbery,didn't arrest,7,7,7,7,7,7,7,1,The police officer would only arrest Alex if they knew for a fact that he robbed these places and them not knowing for certain would be a reason why he wasn't arrested.
16,robbery,didn't arrest,7,7,7,7,7,7,7,1,"The police could easily have not known that Matt any one or more of the robberies and that does not imply anything about what they knew about the other robberies.  Even if they knew that he committed one or more of them, they may not have had enough evidence to arrest him."
18,robbery,didn't arrest,7,7,7,7,7,7,7,1,"Since Jacob was not arrested, the office must not have seen sufficient evidence for him to believe that Jacob had committed the crime. "
19,robbery,didn't arrest,5,4,5,5,4,5,5,6,David is a brilliant so police cannot find him. 
20,robbery,didn't arrest,3,5,3,5,5,5,5,3,"I do not think Jacob was arrested because the officer was not sure yet who had robbed the places, he was probably looking into it before he made an arrest . That is a lot of places to rob in one day, maybe he thought a few people had done it. "
21,robbery,didn't arrest,7,7,7,7,7,7,7,1,If he didn't know then he would have no reason to arrest him.
22,robbery,didn't arrest,7,6,6,7,6,5,6,7,thank you
23,robbery,didn't arrest,7,7,7,7,7,7,7,1,"If the officer didn't know, he doesn't have a suspect to arrest."
26,robbery,didn't arrest,4,4,4,5,5,5,5,5,Because if he did not know who did it then he can not arrest anyone.
27,robbery,didn't arrest,7,7,7,7,7,7,7,1,"Since Alex was not arrested and all three robberies are arrestable offenses, I would say that the officer didn't know that he had solved any of the three stores. If he knew he had robbed just one store, he would have arrested him, but the officer did not arrest Alex, so he didn't know that he was behind any of the three offenses. "
29,robbery,didn't arrest,4,4,4,4,7,4,7,1,"When the officer didn't know David had robbed any store, that is the only good explanation for not arresting him."
30,robbery,didn't arrest,5,5,5,6,6,7,7,1,Only including the officer not knowing about one or two of the stores being robbed isn't as satisfactory as saying the officer didn't know he had robbed all three of the stores. The other explanations are incomplete.
31,robbery,didn't arrest,7,7,7,7,7,7,7,7,The police probably needed to investigate the robberies and look for evidence before making an arrest.
33,robbery,didn't arrest,5,5,5,5,5,1,7,1,the police officer didn't know jacob robbed the three rabberies 
34,robbery,didn't arrest,7,7,7,7,7,7,7,1,"IF THE OFFICER WAS UNAWARE THAT DAVE HAD COMMITTED THE ROBBERIES, HE WAS NOT OBLIGATED TO MAKE AN ARREST."
36,robbery,didn't arrest,4,4,4,4,4,4,4,6,The police may or may not have known if Jacob had robbed each store.  They may have had evidence that he had robbed on of the stores but not all of them.  They may have known that he had robbed all of them.  They may have needed to wait for more evidence to be sent off to the crime lab before arresting Jacob.  They may have needed to get a warrant from the Judge to search his property or to arrest him.  There just isn't enough information.
37,robbery,didn't arrest,5,5,5,5,5,6,7,1,It is likely the officer did not know that David had robbed anything.
40,robbery,didn't arrest,5,5,5,5,5,5,5,1,"Perhaps security cameras were not clear enough to know the identity of the robber, so the officer may not have known it was Alex who was responsible.  If the officer knew Alex was responsible for anything, that is a lousy explanation. The officer would try to arrest Alex, and knowledge of the crime would not factor into Alex not getting arrested."
41,robbery,didn't arrest,7,7,7,7,7,7,7,1,the officer didn't know yet 
44,robbery,didn't arrest,3,4,6,6,5,5,3,4,Seemed like the best choice
45,robbery,didn't arrest,6,6,6,6,6,5,6,1,If he didn't know then he didn't arrest him.
46,robbery,didn't arrest,6,2,2,6,6,2,6,2,"If he didn't know that David had robbed any of the stores that was a good explanation, but if he knew he had robbed any of them that would've been a bad explanation"
47,robbery,didn't arrest,2,2,2,2,2,2,7,1,If the police officer knew that he had robbed any of the stores then any explanation stating that he did not know of the other robberies is not a good explanation for not arresting him for one of teh robberies.
48,robbery,didn't arrest,6,3,6,5,4,2,3,2,looked right 
50,robbery,didn't arrest,2,2,2,2,2,2,7,1,"The only reason the officer wouldn't arrest him is if he didn't know about ALL of the robberies.  If he knew about even one robbery, he should still arrest him."
51,robbery,didn't arrest,3,3,3,3,3,3,7,1,The officer not arresting David when he knew he robbed any of the stores is not a good explanation. He should have arrested him if he knew David robbed even 1 of the stores.
52,robbery,didn't arrest,1,1,1,1,1,1,1,1,"None of them are good explanations, it says the police officer (not plural) assigned to the cases did not arrest Jacob that day. So they definitely should know who he was from cam footage from the stores, and he should be arrested. Unless by didnt know, you mean that they didn't know he was the suspect, he made a clean get away, they have no suspects, it isn't clear from your wording."
53,robbery,didn't arrest,1,5,1,3,3,6,6,1,the officer din't know that Alex committed three robberies that day
55,robbery,didn't arrest,7,7,7,7,7,7,7,1,If the officer had know that Matt robbed the stores he would have arrested him.
56,robbery,didn't arrest,7,7,7,7,7,7,7,1,The officer knew robberies took place but had no idea that Jacob had performed the robberies.
57,robbery,didn't arrest,6,6,6,6,6,6,6,1,If the officer did not know he robbed any stores he is not to blame for not arresting him. 
58,robbery,didn't arrest,6,6,6,6,6,6,6,1,I doubt they'd not arrest him if the police knew
60,robbery,didn't arrest,6,6,6,6,6,6,6,1,need suspicion for arreest
61,robbery,didn't arrest,4,4,3,5,7,5,5,1,"It made sense that the officer didn't make an arrest if he didn't know whether or not Matt committed certain crimes. It made no sense for the officer not to make an arrest if he knew that Matt committed a crime. The more crimes that the officer was not aware of Matt committing, the more reasonable it would be for the officer to not arrest Matt."
62,robbery,didn't arrest,7,7,7,7,7,7,7,1,If he didnt suspect Jacob there would be no reason to arrest him. 
64,robbery,didn't arrest,7,1,1,1,1,1,7,1,The officer would be expected to arrest him if the officer knew he'd robbed any one (or more) of the places that had been robbed.
68,robbery,didn't arrest,7,7,7,7,1,7,7,1,Since no robberies were reported the police officer would not have had reason to arrest Jacob.
71,robbery,didn't arrest,5,5,5,5,5,5,5,2,The officer didnt know he specifically had done something
72,robbery,didn't arrest,1,1,1,1,1,1,7,1,"There's no reason to not arrest David, unless the officer didn't know he robbed any of the stores at all. Robbing one store should mean an arrest."
73,robbery,didn't arrest,2,2,2,3,2,2,2,1,"As a police oficer, it is quiet easy to catch the robbers. And alex had made three robberies on the same day so it would easy to catch him.It is very bad for the police officer not catching alex."
74,robbery,didn't arrest,4,4,3,6,5,6,5,5,not good at his work
76,robbery,didn't arrest,4,4,4,4,4,4,4,1,"I think that if the officer knows and he did not arrest the suspect then that is negligence and is unacceptable. However, not knowing if someone committed a crime may not be that acceptable but can be explained as a lack of communication or lack of quickness in information dissemination and not entirely the officer's fault."
79,robbery,didn't arrest,1,1,1,1,1,1,7,1,"Unless the officer didn't know about any of the robberies, he'd arrest the suspect."
80,robbery,didn't arrest,7,7,7,7,7,7,7,1,If the officer did not know Alex committed a crime he would not have arrested him so any of the options are valid. 
84,robbery,didn't arrest,1,1,1,1,1,1,7,1,"If the officer had known that Alex had robbed even one store, he would have been arrested that day. Therefore, the officer must not have known that Alex had robbed any stores."
85,robbery,didn't arrest,5,6,5,6,5,4,6,5,nothing to say
86,robbery,didn't arrest,7,7,7,7,7,7,7,1,The police officer did not know yet if Matt was the person who robbed the stores. 
87,robbery,didn't arrest,3,3,3,3,3,3,7,1,"If the officer knew Matt had robbed those three places, that is a bad explanation. If the officer did not know he had robbed any of the stores, that is a very good explanation. The other explanations are not complete."
88,robbery,didn't arrest,4,4,4,4,4,4,5,2,He had to make sure he had the full story before any action was taken. 
89,robbery,didn't arrest,6,2,4,4,3,4,6,5,Just what sounded reasonable
94,robbery,didn't arrest,5,7,7,7,7,7,7,1,I felt it was a good explanation if in case the officer didn't know David commited the crimes and a bad explanation if he did know as that seems to be what makes sense to me. 
96,robbery,didn't arrest,6,6,6,6,6,6,6,2,the police officer doesn't know who committed the robberies
102,robbery,didn't arrest,7,7,7,7,7,7,7,1,If the office knew he robbed any of them then that would have been a bad explanation to me.
103,robbery,didn't arrest,1,7,7,1,1,1,7,1,The officer didn't know Alex committed any crimes that day so he didn't arrest him.
106,robbery,didn't arrest,6,7,6,6,6,6,6,2,"If he wasn't arrested, it was probably because the cop didn't know it was him."
107,robbery,didn't arrest,7,5,3,7,7,3,7,3,"It's possible that the drug store and grocery store thefts were related to need, while the liquor store was almost certainly not."
108,robbery,didn't arrest,4,4,4,4,4,4,7,1,"The only good explanation is not knowing who committed any of the crimes. Not knowing who committed one or two of the crimes leaves open the possibility that the officer knew who committed the other crime or crimes, though he might not have known. There is not enough information to make a judgement. Knowing that David committed at least one of the crimes is a very bad explanation for not making an arrest."
109,robbery,didn't arrest,7,7,7,7,7,7,7,4,"If the officer had not known Jacob had done any of the robberies, it made sense he didn't arrest him. If he had known Jacob committed any of the robberies, but didn't arrest him, it could be that the officer couldn't find Jacob."
111,robbery,didn't arrest,4,4,4,4,4,4,6,4,He did not know who comitted the three crimes aka robberies
116,robbery,didn't arrest,7,6,6,6,7,7,7,5,The officer was not aware that he was the robber
118,robbery,didn't arrest,1,1,1,1,1,1,7,1,"The only very good explanation, without further information, is that the officer didn't know he had robbed any of the stores. But it doesn't mean that there's not a good explanation for other answers - he may have been arrested later, or questioned in respect of other offences."
120,robbery,didn't arrest,5,5,5,5,5,5,5,1,"If he knew, he should have arrested him. If he didn't, he didn't."
121,robbery,didn't arrest,1,1,1,1,1,1,1,1,"The officer knew that Matt had robbed those places because he was assigned to the case, therefore none of the explanations are satisfying."
123,robbery,didn't arrest,6,6,6,6,6,6,6,2,The cop pretty much had no idea as there was probably no evidence.
126,robbery,didn't arrest,6,6,6,6,6,6,6,2,"It happens very less that even after police officer knowing who did the crime , he doesn't arrest him. It is most probably that police officer didn't knew who did it."
129,robbery,didn't arrest,2,3,2,3,2,3,7,1,The only good explanation is that the officer didn't know he robbed all 3. Varying degrees of badness for everything but that.
137,robbery,didn't arrest,3,3,3,4,4,2,7,1,If he didnt know then that is understandable but if he knew of even one of the robbies there is no reason he shouldnt have been arrested that day
140,robbery,didn't arrest,4,3,5,3,3,5,4,5,It made the most sense. 
141,robbery,didn't arrest,7,6,6,3,5,3,7,4,The officers liked David
143,robbery,didn't arrest,7,7,7,7,7,7,7,7,The officer didn't know about Alex
144,robbery,didn't arrest,6,6,5,4,5,5,6,2,"Even if he didn't know about one of the robberies, he could have still been a suspect for the other two robberies."
145,robbery,didn't arrest,2,2,2,2,3,3,7,1,"If the officer didn't know that Jacob was the thief then he should't arrest him, until he is sure.  If the officer was sure that Jacob was the thief on at least one of the cases then he should arrest him. "
146,robbery,didn't arrest,3,4,4,5,4,5,3,5,it just do
147,robbery,didn't arrest,6,4,5,3,7,7,6,5,I went by what would be a good explanation of things and seems to cover it.
148,robbery,didn't arrest,2,2,2,2,2,2,7,1,"The only acceptable answer is the the officer didn't know Jacob had robbed any of the three places. If the officer didn't know about one or two of the robberies, there is still a chance that he knew about SOME of the robberies."
150,robbery,didn't arrest,7,7,7,7,7,7,7,1,The officer can't arrest Matt if he isn't sure if he committed the crimes
158,robbery,didn't arrest,7,7,7,7,7,7,7,1,There's no evidence that the officer knew Alex was involved. The officer would have no reason to arrest Alex without suspicion.
159,robbery,didn't arrest,4,4,4,4,4,4,4,1,If the cop knew he did he should have arrested him
160,robbery,didn't arrest,4,4,4,4,4,4,4,4,"The officer probably couldn't find jacob. He might not have known, but even if he did Jacob could have been hiding."
161,robbery,didn't arrest,1,7,1,1,1,1,7,1,"If the officer didn't know that Matt had committed any robberies, that is a very good explanation. If the officer knew Matt committed any robberies that is a very bad explanation."
162,robbery,didn't arrest,6,6,6,6,6,6,6,2,the police officer must not have known that it was him or else he would have been arrested.
163,robbery,didn't arrest,7,7,7,7,7,7,7,1,"If the officer knew, then Alex would most likely be arrested. "
166,robbery,didn't arrest,7,7,7,7,7,7,7,1,It would be pretty basic that if the officer didn't know Matt had committed any or all of the robberies he would not arrest him. The officer may also not have been aware that the three robberies were committed by the same person.
169,robbery,didn't arrest,7,7,7,7,7,7,7,1,it was based on my interpretation of the text
170,robbery,didn't arrest,7,7,7,7,7,7,7,1,if he didn't know he'd have no reason to arrest him
171,robbery,didn't arrest,5,5,6,6,6,6,6,1,"For the explanations that sounded good, I gave them high ratings and for the ones that sounded bad, I gave them low ratings."
172,robbery,didn't arrest,2,6,6,7,7,7,7,1,It would make sense for the officer not to arrest Alex if he didn't know for sure he had robbed any one of the businesses.
174,robbery,didn't arrest,6,6,6,6,6,6,6,2,It never said the officer found someone who robbed the stores.
177,robbery,didn't arrest,4,4,4,4,4,4,7,1,The officer should arrest Matt if he knew Matt committed any of the three robberies.  The fact that he didn't know Matt committed robberies at 1 or 2 locations doesn't mean he knew Matt committed the robberies at the remaining locations.  There is not enough information to determine what the officer knew or didn't know on these questions.
179,robbery,didn't arrest,5,5,5,6,6,6,6,1,"If officer comes to know about at least one of the 3 events, he would have arrested Jacob. So. I went with statements close to agreement with this."
180,robbery,didn't arrest,2,2,2,3,2,3,6,1,"If the officer didn't know that Jacob robbed one store, then it seems to follow that he knew that he robbed one of the others and therefore could have arrested Jacob for those robberies that took place."
182,robbery,didn't arrest,7,7,7,7,7,7,7,7,"If the officer didn't know that Jacob had done those things, he isn't going to arrest him. It didn't state as to whether he was aware he had done one and not the others on certain questions."
183,robbery,didn't arrest,2,2,3,2,2,2,2,6,the police officer must arrest the alex that day. once the crime is committed it is duty of the police officer to find out the culprit and arrest him immediately without any hesitations.
184,robbery,didn't arrest,7,7,7,7,7,7,7,1,The officer didn't lock him up so he couldn't have known Jacob committed those crimes.
185,robbery,didn't arrest,5,5,5,5,5,5,5,1,makes sense
186,robbery,didn't arrest,7,7,7,7,7,7,7,1,Obviously you can't arrest someone if you don't have any kind of reasonable suspcision.
187,robbery,didn't arrest,5,5,5,6,6,6,7,1,"Since the police officer is supposed to arrest someone who commits a crime, the fact that nobody was arrested means that the officer did not know who committed any of the crimes. If he knew who committed any of them, he'd have Alex arrested."
188,robbery,didn't arrest,7,5,5,5,5,5,7,1,"The officer would not have let Jacob go if he knew about any of the robberies. Therefore, he must not have known that Jacob robbed any of the three locations."
189,robbery,didn't arrest,6,7,6,3,3,2,2,3,some sound confusing
