Subject,Story,Case,Explanation 0,Explanation 1,Explanation 2,Explanation 3,Explanation 4,Explanation 5,Explanation 6,Explanation 7,Reasoning
190,robbery,didn't arrest,2,2,2,2,2,2,7,1,"If the officer knew David robbed even one of those stores, they should have arrested David. Any explanations are not valid unless they didn't know he robbed any of the stores."
191,robbery,didn't arrest,6,6,6,6,6,6,6,4,Not knowing whom was responsible is a good explanation for not arresting someone as in the USA arresting someone without having all the evidence can lead to serious consequences.  Also knowing whom did what had me think it was not too bad on not arresting right away as knowing the perpetrator can make it easier to find and arrest them..
192,robbery,didn't arrest,4,4,4,4,4,4,6,1,"If the offer had connected Alex to any robbery he would have been arrested, so either the officer doesn't know that he robbed any store or he doesn't have evidence to say it was him without a doubt."
193,robbery,didn't arrest,5,5,5,6,5,5,6,5,"This one is tougher. The officer didn't know one, but how about the other robberies? Hard to tell if he is telling a good explanation, but in my opinion, most of the explanations are fair."
1,locks,got keys,7,2,3,7,4,6,6,3,Alex knew that Lock B was locked and that Lock C was locked
4,locks,got keys,3,3,2,4,4,4,7,1,If it is probable that at least one of the doors is locked then it would seem most efficient to always get the keys before trying to get in the door.
7,locks,got keys,3,3,3,3,3,3,3,5,"I think that Alex didn't know that Lock A was locked, or that Lock B was locked, or that Lock C was locked. Alex took all the keys in case there is a door or two doors locked for saving the time. "
8,locks,got keys,7,7,7,7,7,7,7,7,They were all locked
9,locks,got keys,4,3,5,3,4,4,5,4,I can't call this one either way honestly.
13,locks,got keys,7,2,3,5,2,1,2,6,"He knew there were 3 locks. He got his and waited for the other employees to pick up the keys. There are three people, all assigned a single lock for security reasons."
15,locks,got keys,2,2,2,2,2,2,2,3,None of the explanations are good because the chances of the locks being locked are unknown.
16,locks,got keys,7,7,7,7,7,7,7,7,"Knowing something about certain locks means that he may or may not have known the status of the other locks, so it is rational to get all of the keys.  Also, he may need to lock all locks when he leaves so he would need all of the keys."
18,locks,got keys,1,1,1,1,1,1,1,4,The locks are not always locked. 
19,locks,got keys,5,5,6,5,4,5,4,6,"I think this is best ,"
20,locks,got keys,2,3,2,3,3,3,3,7,David got the keys just in case the doors were locked so he did not have to make two trips 
21,locks,got keys,4,5,4,5,5,5,7,6,It would make the most sense for him to get the keys because he knew the locks were locked.
22,locks,got keys,5,4,7,6,7,7,7,6,thank you
23,locks,got keys,7,7,7,7,7,7,7,1,"If he knew there were locks, he needed the keys."
26,locks,got keys,7,7,6,7,7,6,6,7,Because he knew that the doors were locked and had to have the keys to unlock them.
27,locks,got keys,4,4,4,2,2,2,2,2,"It's really hard to call this one because even though it has 3 locks, they don't necessarily have to be in ABC order and it says that the locks are not always all locked. Therefore, any combination of locks could be locked, like A is not and B and C are, or the opposite of that. So it's really hard to tell which ones he would get first to open the door, unless he wanted to just get them all to have them and be on the safe side."
29,locks,got keys,4,4,4,5,6,5,7,6,"The more locks he didn't know were locked, the better the reason for him to get all the keys."
30,locks,got keys,3,3,3,3,3,3,3,6,"I think Jacob got the keys because he didn't know whether any particular locks would be locked or not, not because he knew for sure that any particular ones of them were locked."
31,locks,got keys,7,7,7,7,7,7,7,7,Matt is probably familiar with how the locks work and that they are sometimes locked.
33,locks,got keys,6,6,6,1,1,1,7,1,"defenetly the lock A,B,C are locked so he get keys"
34,locks,got keys,7,7,7,7,7,7,7,1,MATT KNEW THAT THE DOORS WHERE LOCKED SO HE HAD TO GET THE KEYS FIRST.
36,locks,got keys,2,2,2,2,2,2,2,7,Matt did not know if the locks were locked or not.  He might have had prior knowledge but I wasn't given that information.  I would guess that he went and got the keys so that he would not have to walk back to the other building in case the locks were locked.  That way he would already by prepared to open the door.
37,locks,got keys,5,5,5,5,5,5,5,7,It is mostly likely that Alex counted on at least one of the locks being locked.
40,locks,got keys,6,6,6,6,6,6,7,3,"Jacob knowing that any combination of doors were locked seems like a good explanation. That would seem to assume that Jacob wanted to use the specific rooms that were locked.  If Jacob did not know which rooms were locked, then it would seem to be a waste of time to go to the secretary in a separate building and ask for the keys. So I assume he knew a door he needed to open was locked."
41,locks,got keys,5,3,2,3,4,4,4,4,alex knew that every lock was locked before he got the key 
44,locks,got keys,3,2,5,4,4,6,4,3,I think these where the optimal choices
45,locks,got keys,6,7,6,7,7,6,7,5,"If he knew they were locked, he would get the keys."
46,locks,got keys,6,6,6,6,6,6,6,2,"If Jacob knew that any of the doors were locked, than he knew he had to get the keys before hand.  If he didn't know, than he should've tried the doors before getting the keys."
47,locks,got keys,7,7,7,7,7,7,7,7,If David knew any of the locks were locked then that would be a very good explanation as to why he got the keys before going into the supply room.
48,locks,got keys,4,5,5,3,3,2,3,3,picked the best
50,locks,got keys,1,1,1,1,1,1,1,6,"David does not know whether any are locked, so he has to bring keys just in case."
51,locks,got keys,7,7,7,7,7,7,7,1,"If Alex knew that any of the lock were locked, that would be a good explanation to get the key regardless of if he knew all were locked."
52,locks,got keys,6,6,6,6,6,6,6,2,"It seems logical to only go get the keys if you know the door you need is locked, otherwise, if he didn't know, I think he'd try it first."
53,locks,got keys,5,4,5,5,4,4,5,5,Jacob didn't know if any of the locks were locked because they're not always all locked
55,locks,got keys,4,4,4,5,5,4,5,7,"I think that Alex was unsure if the locks were unlocked, he got the keys just in case they were locked."
56,locks,got keys,1,1,1,1,1,1,1,1,David Knew that some of the locks could be locked but had no way of knowing which ones.
57,locks,got keys,7,7,7,7,7,7,7,1,"If Alex knew the doors were locked, it makes sense he would ask for the keys. "
58,locks,got keys,3,4,3,4,5,6,7,4,He needed the keys as long as one door was locked. 
60,locks,got keys,6,6,6,6,6,6,6,1,he knew they were locked
61,locks,got keys,4,5,5,6,6,6,7,1,"It made more sense to me that David would get the keys when he knew that the doors would be locked. The more doors that he knew to be locked, the more sense it made that he would retrieve the keys first. If he did not know if any (or some) of the doors were locked, it would not be as sensible to get the keys first."
62,locks,got keys,5,7,7,5,7,5,7,3,"He had a good idea that one of the 3 locks would be locked, so it cant hurt to grab the keys anyways."
64,locks,got keys,7,7,7,7,7,7,7,7,He would need the keys if any one or more were locked.
68,locks,got keys,4,4,4,4,7,4,4,7,"Since any of the locks could be locked and Matt had no way to know, he got the keys as a safe guard so he could unlock any of the locks."
71,locks,got keys,2,2,2,2,2,3,3,7,He knows it's POSSIBLE that the doors are locked
72,locks,got keys,7,7,7,7,7,7,7,7,It would be wise to get all of the keys just in case any of the locks are locked.
73,locks,got keys,6,6,6,6,6,6,7,1,As the doors are not always not locked it is safe to get the keys first to avoid unnecessary delay.
74,locks,got keys,6,5,5,6,5,5,4,5,he is the secretary 
76,locks,got keys,7,7,7,7,7,7,7,4,I think that not knowing if the doors are locked and still getting the keys is pretty common sensical and is as acceptable as knowing that the doors are locked.
79,locks,got keys,7,7,7,7,7,7,7,1,"If any of the locks were locked, David would need the keys to open the door."
80,locks,got keys,7,7,7,7,7,7,7,1,Since any one of the locks could have been locked any explanation where Jacob knew a lock was locked is an equally strong and vaild reason. 
84,locks,got keys,1,1,1,1,1,1,1,7,"Matt would assume that all locks could be locked, but he wouldn't know for sure that any of them were. Rather than risk having to walk back over and get the keys, he chose to come prepared."
85,locks,got keys,5,6,5,6,5,5,6,5,sutivation 
86,locks,got keys,4,4,4,4,4,4,4,4,"Alex knew that lock A, B, C may or may not have been locked. There was a 50/50 chance of the doors being locked. Alex got the keys first just in case one of the doors were locked"
87,locks,got keys,7,7,7,7,7,7,7,5,"If David knew that any locks were locked, he would need the keys. Even if he didn't know, he probably figured at least one was locked and so it would be easier just to get the keys first."
88,locks,got keys,3,6,4,4,5,6,6,3,I tried to apply logic to the situaiton. He would only get the keys if he knew the progression and the fact about the rest of the locks
89,locks,got keys,5,2,5,4,5,2,5,2,its hard to understand honestly.
94,locks,got keys,5,7,7,7,7,7,7,1,I felt it was a good explanation if in case the officer didn't know David commited the crimes and a bad explanation if he did know as that seems to be what makes sense to me. 
96,locks,got keys,5,5,5,5,5,5,5,2,"he knew that there was a strong possibility that one, if not all, were locked"
102,locks,got keys,7,7,7,7,7,7,7,7,"He knew they were all locked so it was common since for him to bring the keys, they were all good explanations for why he needed the keys first."
103,locks,got keys,7,7,7,7,7,7,7,1,David was being safe with all doors so he brought the keys in case he had to unlock the doors.
106,locks,got keys,2,1,1,2,1,2,1,7,Matt wanted to be safe. He knew there was a possibility things could be locked
107,locks,got keys,7,7,7,7,7,7,7,6,"If any locks were locked, Matt would need the keys. When he didn't know if any were locked, he was just assuming they were locked, which is probably a fair assumption."
108,locks,got keys,7,7,7,7,7,7,7,4,Knowing that one or more of the locks were locked is a good explanation for getting the keys. Not knowing that at least one of the locks was locked is still a good explanation because if any one of the locks had been locked Alex would have had to go get the keys.
109,locks,got keys,7,7,7,7,7,7,7,4,"If Alex knew one or more of the locks is locked, then he would need to get the keys. If he didn't know if any of the locks were locked, it would still be reasonable to get the keys in case one or more were locked."
111,locks,got keys,4,4,4,4,4,4,4,6,He got the keys assuming they would all be locked.
116,locks,got keys,7,5,6,6,5,6,6,1,Because he grabbed the keys
118,locks,got keys,7,7,7,7,7,7,7,1,If he knows any of the locks are locked - he needs a key. If he didn't know - why not try first before walking to another building.
120,locks,got keys,5,5,5,5,5,5,5,7,Not knowing which locks were locked would prepare you to go get the keys.
121,locks,got keys,1,1,1,1,1,1,1,7,"He didn't know what was locked and what wasn't, therefore he had to grab the keys."
123,locks,got keys,6,6,6,6,6,6,6,2,"It's always best to assume that a scenario has the worst possible outcome, and prepare for it just in case.This is what David did. He ""knew"" they all were locked based on assumptions, even if they weren't, he was prepared for it."
126,locks,got keys,4,4,4,4,4,4,4,4,"There is very less data given to decide on this case, so I kept every question in the middle."
129,locks,got keys,7,1,1,1,7,1,1,7,He expected something to be locked.
137,locks,got keys,5,5,5,5,5,5,7,5,David probably figured if one lock is locked then there is a great possibility that they are all locked.
140,locks,got keys,5,3,5,3,4,4,5,5,It made the most logical sense.The locks aren't always locked so the employees have to get them from the secretary. 
141,locks,got keys,5,5,7,7,4,3,3,2,Jacob tried the locks
143,locks,got keys,5,5,5,5,5,5,6,2,"Jacob knew that Lock A was locked, and that Lock B was locked, and that Lock C was locked."
144,locks,got keys,7,7,7,6,6,6,6,3,"If he knew at least one of the doors was locked, he was going to need the keys regardless."
145,locks,got keys,7,7,7,7,7,7,7,2,If David already knew that at least one of the locks is locked then he needs the keys to get to the supply room.
146,locks,got keys,5,4,3,4,4,4,5,4,It be like it be because it do
147,locks,got keys,5,5,7,6,3,6,5,7,I went by what I thought would sound right.
148,locks,got keys,7,7,7,7,7,7,7,7,"Without the knowledge of whether any of the locks are locked, there is always the possibility that at least one of them is indeed locked, so it's best to get the keys beforehand in any case."
150,locks,got keys,2,2,2,2,2,2,6,7,There is no way to really tell if he knew if they were locked all the way
158,locks,got keys,4,4,4,4,4,4,4,4,"Without knowing the circumstances of when the locks are locked, we can only guess how Matt knew to get the keys."
159,locks,got keys,1,7,1,7,1,7,7,5,If he knew for a fact of course it is a good explanation
160,locks,got keys,5,5,5,5,5,5,5,5,"If he got the keys, he probably thought the door to something was locked. However, I have no idea whether he knows the door to anything is locked or isn't locked. Therefore, I can't say it's a great explanation since I don't really know his motives."
161,locks,got keys,7,7,7,7,7,7,7,1,"If Jacob knew any locks were locked, that is a very good explanation."
162,locks,got keys,4,4,4,5,4,4,4,4,i would guess that he knew some of the locks could have been locked so he just got the keys to be prepared.
163,locks,got keys,7,7,7,7,7,7,7,1,He got the keys first. 
166,locks,got keys,7,7,7,7,7,7,7,5,As lon as Alex knew that at least one door was locked he would have to go get the keys. Even if he knew which door it was he would have to get the key to that door and they were probably all on the same keychain. The only way he wouldn't have gotten the keys is if he knew for certain that all the doors were unlocked.
169,locks,got keys,6,5,5,5,6,5,5,6,it was based on my interpretation of the text
170,locks,got keys,7,7,7,7,7,7,7,1,he knew he needed keys c ause he knew a door was locked
171,locks,got keys,5,5,5,5,6,5,6,2,I figured Jacob got the keys because he knew at least one of the locks were locked.
172,locks,got keys,5,5,5,4,3,4,3,2,"David probably assumed that at least one of the locks was locked and wanted to make sure he had the keys first, just in case. "
174,locks,got keys,3,3,3,3,4,4,4,5,The locks could be locked or not.
177,locks,got keys,7,7,7,7,7,7,7,1,If Alex knew that any 1 of the locks was locked then he would have to get the keys.  Any explanation indicating Alex knew at least 1 of the locks was locked is satisfactory.
179,locks,got keys,5,5,5,5,4,4,4,2,Either one or more locks were locked. So went with statements which agreed with this.
180,locks,got keys,7,7,7,7,7,7,7,1,"Even though the locks are not always all locked there is a possibility that one or more could be locked. So, knowing that one or more of the locks are locked is a very good explanation for getting the keys first."
182,locks,got keys,7,7,7,7,7,7,7,7,He knew he was going to need keys for at least one of them.
183,locks,got keys,4,6,6,4,6,6,6,2,"here Matt knew that lock A, B, C are locked. that what he get the keys first. there may be possibility of Matt accessed the supply room at last after that he want to access the supply room so he get the keys before opening the door because he knew that supply room locks are locked."
184,locks,got keys,7,7,7,7,7,7,7,1,All of the locks are locked and need a key.
185,locks,got keys,5,5,5,5,5,5,5,3,he knew so he got it
186,locks,got keys,4,3,3,4,3,3,3,4,I don't know what David knows or doesn't know.
187,locks,got keys,1,1,1,1,1,1,1,7,"Since the locks are not always all locked, Matt could not have known which of the locks would be locked. Any explanation stating explicitly that he knew which locks were locked would be incorrect."
188,locks,got keys,1,2,2,2,2,2,2,5,David would have no way of knowing for sure which of the three locks are locked at any given time.
189,locks,got keys,7,7,7,2,3,3,2,2,repeating things too much
190,locks,got keys,7,7,7,7,7,7,7,5,"If Jacob knew that any of the locks were locked, he rightly went to get the keys first."
191,locks,got keys,2,2,2,2,2,2,6,2,Knowing that there are 3 locks that usually need to be unlocked is a valid reason to get the keys.  It is better in this scenario to be prepared for all locks to be locked rather than assume 1 or 2 only will be.
192,locks,got keys,1,1,1,1,1,1,1,7,"Jacob probably didn't know for sure if any of them were locked, but he wanted to be prepared in case one of them was."
193,locks,got keys,4,4,4,5,5,5,7,5,"Hard to tell, but it makes sense when at least one of the doors is locked"
0,locks,didn't get keys,6,6,6,6,6,6,1,1,"If he knew for sure that all 3 locks are locked, it's too stupid to try to open them. And the statements about him not knowing the status of 1 or 2 locks are weird: they might mean that the remaining locks were unlocked and he knew that (since we were informed that ""The locks are not always all locked. ""). The statement with 3 ""or"" is also weird: it might mean he was misinformed by someone.  So I went with believing the best case scenario (the best for Jacob's intelligence) and thus rated those statements as quite possible. "
2,locks,didn't get keys,2,1,1,2,6,1,2,2,He might have assumed that all locks are open and there is no need to get the keys.
3,locks,didn't get keys,6,6,6,6,6,6,7,1,"He assumed the doors may have been unlocked so it would make sense that he didn't go get the keys first, wasting valuable time."
5,locks,didn't get keys,1,1,1,1,1,1,1,5,He already knew one was unlocked so he didn't need a key. 
6,locks,didn't get keys,3,3,3,3,3,3,3,3,"It would seem that if one lock was locked, he could not get into the room without going and getting the keys. He was probably irked at the inconvenience, but that is not a great explanation. "
10,locks,didn't get keys,4,3,5,3,5,5,5,5,Correct Answers 
11,locks,didn't get keys,1,1,1,1,1,1,7,1,"I didn't agree with any but of these. It sounded like all the keys were together so he would either have to get them or not get them. And if he knew they were locked, he wouldn't try. The only explaination might be he thought they ALL were unlocked."
12,locks,didn't get keys,4,4,2,4,3,4,4,2,"Major problem was The locks are not always all locked. and employee should have spare keys, employee must check locks before leave the supply room"
14,locks,didn't get keys,4,4,5,4,4,5,6,1,I don't think he was aware anything was locked and that's why he went to open the door without getting the keys.
17,locks,didn't get keys,4,5,5,2,6,3,7,4,"I went on the most logically easy to understand, that's how I rated. "
24,locks,didn't get keys,6,6,6,6,6,6,6,1,All of these are good explanations except if he KNEW they were all locked. He could have been going there to check and see if the locks were unlocked and if not which keys to get.
25,locks,didn't get keys,7,7,7,7,7,7,7,1,Jacob wouldn't try to open the locker if he knew it was locked.
28,locks,didn't get keys,7,7,7,7,7,7,7,1,"Since their not always locked, he didn't know if they were locked or not."
32,locks,didn't get keys,1,2,1,1,1,1,1,4,he should of known to go get the key from the other person
35,locks,didn't get keys,7,7,7,7,7,7,7,1,I feel that because the locks are not always locked Matt wouldn't have known what locks were locked on this certain day.
38,locks,didn't get keys,1,2,1,3,2,3,6,1,the only logical explanation its that david didn't knew that the three locks were locked.
39,locks,didn't get keys,5,5,5,5,5,5,5,1,quite simple.. he just assumed they might not be locked given that sometimes they arent locked and other times they are. Not the best explanation since one should assume they are locked most of the time so its worth getting the keys
42,locks,didn't get keys,7,7,7,7,7,7,7,2,"He figured he could get in there because the locks are not always locked. So because of that, he tried it first."
43,locks,didn't get keys,6,6,6,6,6,6,6,1,Obviously he wanted to try the door first because it isn't always locked. So the only option that isn't a good choice is that he knew the door was locked.
49,locks,didn't get keys,5,4,6,4,5,3,6,5,This is what I believe. 
54,locks,didn't get keys,5,5,2,5,2,2,7,1,"david knew he couldn't get in if any of the locks were locked, but he didn't know if all three were locked sometimes the weren't locked"
59,locks,didn't get keys,4,4,4,6,6,6,7,1,My answers would have changed had the door and lock David tried to open were specified. Not knowing if the door was locked it a very good explanation if the the door David was trying to lock corresponded with David not knowing it was locked. Knowing it was locked is a bad explanation otherwise David would not try to open it.
63,locks,didn't get keys,5,5,5,5,5,5,5,5,Jacob dint knew that all the rooms were locked.
65,locks,didn't get keys,2,2,2,2,2,2,7,1,He nees all 3 to be unlocked for him to get in.
66,locks,didn't get keys,1,1,1,1,1,1,7,1,He  must know all three were unlocked or dude is wasting time
67,locks,didn't get keys,2,2,2,4,4,4,7,1,Any lock could have been locked.  He didn't know IF ANY were locked.  
69,locks,didn't get keys,7,7,7,7,7,7,7,1,Any of the locks could have been locked or unlocked and the only explanation that didn't make sense would be if he knew one of them was locked he should have gone to get the keys at least for that lock.
70,locks,didn't get keys,4,4,4,4,4,4,7,1,"If he didn't know that any of them were locked that's a very good explanation because he assumed it wasn't locked.  Any of the others where he didn't know if one or two were locked I would imagine he knew the other(s) were locked, so why bother, you're going to need keys.  When he knew for sure all of the locks were locked there was no point to try the door without getting keys so it was a very bad explanation."
75,locks,didn't get keys,5,5,5,5,5,5,5,1,"If he knew that they were all locked, he would definitely need the key so that doesn't make sense. If he didn't know that one of the locks was locked, it would make sense that he tried to unlock the door first."
77,locks,didn't get keys,5,5,5,5,5,5,5,5,All of the explanations seem good.
78,locks,didn't get keys,7,7,7,7,7,7,7,7,A reasonable person would get teh keys if he thought the doors were all locked. SO it stands to reason that he thought at least one door was unlocked
81,locks,didn't get keys,1,1,1,1,1,1,7,1,"The case states that the locks are not always locked.  So in this case, David tried to open the door first before getting the keys without knowing whether any of the locks would be unlocked.  "
82,locks,didn't get keys,3,3,3,3,3,4,4,3,"It is the standard procedure to get the keys, but there is always a possibility they are unlocked. And it doesn't waste much time to check."
83,locks,didn't get keys,3,4,4,5,5,5,7,7,"Not knowing all the locks were locked meant he assumed they were unlocked, hence it made sense not to get the key."
90,locks,didn't get keys,5,3,4,4,5,5,4,5,I think that Matt knew that one of the doors was not locked and that is why he did not get the key. 
91,locks,didn't get keys,5,5,5,5,5,5,7,1,He certainly would not have tried to open any without the key unless he thought they were unlocked
92,locks,didn't get keys,2,2,2,5,5,5,7,1,Matt thought that at least one of the locks would be open since the locks are not always locked. 
93,locks,didn't get keys,1,1,1,1,1,1,1,1,All explanations are bad. He knows atleast one lock didn't locked. 
95,locks,didn't get keys,6,6,6,6,6,6,7,3,Alex may have known that the locks aren't always locked and he wanted to try the door before bothering the secretary.
97,locks,didn't get keys,4,4,4,4,4,4,4,4,The description says the locks were not always locked . So David needed to assume that they were not locked . 
98,locks,didn't get keys,7,7,7,7,7,7,7,1,Wouldn't do it if he knew
99,locks,didn't get keys,3,3,3,3,3,3,1,1,"I assume he was trying to save time by just trying the locks himself. However, if there's 3 locks, there's a decent chance at least one would be locked."
100,locks,didn't get keys,4,5,7,7,6,5,4,6,"DOOR A,B,C IS LOCKED IS AN UNSATISFIED THING TO DEVELOP THOUGHTS AND TRIES TO OPEN"
101,locks,didn't get keys,4,3,5,5,7,2,5,2,David think that the locks is unlocks
104,locks,didn't get keys,7,7,7,7,7,7,7,1,"If Jacob didn't know the locks were locked, he would have no reason to get the keys from the secretary."
105,locks,didn't get keys,6,6,6,6,6,6,6,1,David probably knew that the locks were not always locked and he wanted to try his luck without going for the keys first. 
110,locks,didn't get keys,1,1,1,1,1,1,7,1,"If Matt knew that at least one door was locked, he should have gotten keys from the secretary. If he didn't know any of the doors were locked, then that explains why he didn't get the keys."
112,locks,didn't get keys,6,6,6,6,6,6,7,1,"Matt is an employee so he knows that the door has three locks and that he needs the key for them. If he did not get the key, he must have thought they were already open."
113,locks,didn't get keys,7,7,7,7,7,7,7,1,Matt didn't know which door was locked.
114,locks,didn't get keys,1,1,1,1,1,1,7,1,"I think the only reason he would not get the keys was that he thought ALL of the locks were unlocked, so only the last reason makes sense to me."
115,locks,didn't get keys,7,7,7,7,7,7,7,1,It wouldn't make sense for Matt to try to open the door if he knew it was locked.
117,locks,didn't get keys,7,7,7,7,7,7,7,4,"Sometimes the locks are unlocked, so it was not a bad idea to just go check first. "
119,locks,didn't get keys,2,4,1,4,4,2,5,3,I went with my gut feeling.
122,locks,didn't get keys,7,6,7,6,7,6,7,6,good
124,locks,didn't get keys,5,5,5,5,5,5,7,1,"It isn't stated that an employee can't open the supply room without first getting the key. If Alex didn't know if any of the locks were locked, I call that a good explanation. The options that don't include all locks are leaning towards a good explanation, but Alex seems to have some information regarding at least one lock, so it'd make sense that they could have gotten the full picture before attempting to open the supply room."
125,locks,didn't get keys,4,4,4,6,6,5,7,1,Sometimes the doors aren't locked.
127,locks,didn't get keys,5,5,5,4,4,6,7,4,"He didn't know any of them were locked, but the more detailed ones are better explanation."
128,locks,didn't get keys,7,7,7,2,2,2,2,1,I think David would know that at least one was locked. He might not have known that one of the doors was locked. It's unlikely that he wouldn't have asked for the keys if he knew the doors were locked.
130,locks,didn't get keys,5,4,4,5,4,4,4,4,I just chose that
131,locks,didn't get keys,7,7,7,7,7,7,7,1,Jacob would not have tried to open the door without the keys if he thought any of the locks were closed.
132,locks,didn't get keys,2,4,2,4,3,3,6,5,my opinion
133,locks,didn't get keys,5,5,5,6,5,4,6,6,They had no idea which was locked and what was not.
134,locks,didn't get keys,7,7,7,7,1,7,7,1,"In the scenario, it states that the all the doors are not always locked so maybe Alex wanted to check the doors first before walking all the way to the other building and getting the key."
135,locks,didn't get keys,5,5,5,6,5,6,7,1,i think Matt tried to see if the locks were open before going to the secretary for the keys
136,locks,didn't get keys,7,7,7,7,1,7,2,1,Jacob didn't know that any of the locks were locked. 
138,locks,didn't get keys,6,6,6,6,6,6,6,1,He couldn't have known if any were locked so it might be worth trying before going to get the keys.
139,locks,didn't get keys,6,6,6,7,7,7,6,5,good
142,locks,didn't get keys,5,5,4,2,4,4,3,3,I think alex is a theif trying to get into the supply room without any keys.
149,locks,didn't get keys,5,6,6,6,5,5,6,6,Alex was not knowing that the keys were in different building with a secretary.
151,locks,didn't get keys,6,4,6,7,5,5,7,7,thanks for your opportunity
152,locks,didn't get keys,5,5,6,6,5,6,6,5,excellent
153,locks,didn't get keys,4,5,6,4,3,5,5,5,I think the employee was trying to steal something without anyone knowing.
154,locks,didn't get keys,5,6,6,6,6,6,6,2,"I don't think he really knew anything at all.  Or he has no clue that you need to have all of them unlocked.  Basically, all options are in play "
155,locks,didn't get keys,4,5,4,4,4,4,5,2,If he had to guess that only one lock wasnt lock he had a better chance of opening the door
156,locks,didn't get keys,6,5,6,6,5,3,7,4,This all reflects my gut feelings 
157,locks,didn't get keys,6,6,6,6,6,6,6,6,He may have been unaware that they locked the locks so any of these would be a reasonable explanation.
164,locks,didn't get keys,5,5,3,3,4,5,4,4,Jacob probably forgot about the keys.
165,locks,didn't get keys,7,6,7,6,6,6,6,6,very interesting
167,locks,didn't get keys,5,5,5,5,5,5,6,4,"He didn't know which, if any were locked"
168,locks,didn't get keys,6,6,6,6,6,6,6,1,It seems obvious that if he knew any of the locks were locked he would have gone to the secretary first. But he had to establish that by first trying the door to see if it was unlocked. 
173,locks,didn't get keys,2,3,3,3,4,2,4,1,David should always assume the doors are locked
175,locks,didn't get keys,1,1,1,1,1,1,1,1,the secretary has the keys and everyone knows one locked lock or three
176,locks,didn't get keys,2,2,2,2,2,2,7,1,"There are three locks and all are required to access the supply room.  It seems like rather than assuming the doors are unlocked, alex should just get the key.  Also, knowing that 2 locks are unlocked/locked doesn't matter if the state of the third is unknown. "
178,locks,didn't get keys,6,6,6,6,6,6,6,1,If he didnt know they were locked then he would not go to get the key
181,locks,didn't get keys,1,1,1,1,1,1,1,1,common sense should have informed Alex a key would be needed for every lock
